Identificador;Senioridade;Frequencia de uso;Q15.1;Q15.2;Q15.3;Q15.4;Q15.5;Q15.6;Q15.7;Q15.8;Q15.9;Q19.1;Q19.2;Q19.3;Q19.4;Q19.5;Q19.6;Q19.7;Q19.8;Q23.1;Q23.2;Q23.3;Q23.4;Q23.5;Q23.6;Q23.7;Q23.8;Q23.9;Q27.1;Q27.2;Q27.3;Q27.4;Q27.5;Q27.6;Q27.7;Q27.8;Q31.1;Q31.2;Q31.3;Q31.4;Q31.5;Q31.6;Q31.7;Q31.8;"
Q31.9"
Dev_30;Pleno;Utilizo Eventualmente;2;4;4;3;3;5;5;5;5;3;3;1;3;3;3;3;3;Eventualmente;Frequente;Frequente;Muito frequente;Frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;1;2;3;2;3;2;2;2;4;3;4;3;4;3;4;3;4
Dev_31;Júnior;Utilizo Muito Frequentemente;5;1;3;3;3;4;4;4;4;2;2;1;3;2;1;4;4;Frequente;Eventualmente;Eventualmente;Frequente;Muito frequente;Eventualmente;Frequente;Frequente;Eventualmente;5;2;2;4;4;4;4;4;5;1;5;3;3;3;4;4;3
Dev_32;Pleno;Utilizo Muito Frequentemente;2;4;3;2;5;2;5;3;3;3;4;2;4;2;2;1;3;Frequente;Frequente;Raramente;Frequente;Muito frequente;Frequente;Muito frequente;Frequente;Eventualmente;5;4;2;4;4;4;4;5;5;4;5;5;5;2;4;4;2
Dev_33;Pleno;Utilizo Frequentemente;5;1;2;1;3;3;4;5;3;2;2;1;4;3;3;4;5;Raramente;Eventualmente;Muito frequente;Muito frequente;Muito frequente;Nunca;Eventualmente;Frequente;Frequente;2;3;5;5;5;5;4;5;3;3;5;5;3;4;4;5;2
Dev_34;Estagiário/Trainee;Utilizo Muito Frequentemente;4;2;5;4;2;3;5;5;5;2;2;1;4;3;4;5;5;Eventualmente;Muito frequente;Eventualmente;Frequente;Nunca;Raramente;Frequente;Frequente;Eventualmente;5;1;1;3;4;4;4;5;2;1;5;4;2;4;5;5;4
Dev_35;Pleno;Utilizo Muito Frequentemente;5;1;4;2;5;1;5;3;3;3;2;1;4;4;1;3;5;Eventualmente;Frequente;Muito frequente;Muito frequente;Muito frequente;Frequente;Eventualmente;Muito frequente;Eventualmente;4;2;4;5;5;2;5;5;4;5;5;5;2;5;5;5;3
Dev_36;Pleno;Utilizo Muito Frequentemente;5;1;2;3;2;5;5;5;3;2;3;1;3;3;2;3;5;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;3;2;4;5;5;5;5;5;5;3;5;5;5;3;2;4;1
Dev_37;Senior;Utilizo Muito Frequentemente;5;1;1;1;3;5;4;1;1;5;1;1;1;5;1;1;4;Nunca;Eventualmente;Raramente;Nunca;Raramente;Frequente;Nunca;Nunca;Nunca;1;1;1;1;1;1;1;4;5;5;1;3;1;4;5;5;1
Dev_38;Senior;Utilizo Muito Frequentemente;5;1;4;2;2;4;5;5;5;2;2;1;5;4;3;4;5;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Muito frequente;Frequente;4;3;3;4;5;5;5;5;3;3;5;5;3;4;4;5;2
Dev_39;Senior;Utilizo Eventualmente;3;3;3;1;1;2;1;1;1;3;3;1;2;3;3;1;4;Raramente;Raramente;Frequente;Frequente;Nunca;Raramente;Frequente;Frequente;Nunca;2;3;1;2;2;1;4;3;1;1;5;1;1;2;3;4;1
Dev_40;Senior;Utilizo Raramente;5;4;1;5;5;5;1;1;1;5;5;1;1;4;1;1;5;Nunca;Frequente;Nunca;Nunca;Raramente;Raramente;Nunca;Frequente;Nunca;1;4;1;1;1;1;1;1;1;1;4;4;1;2;1;1;3
Dev_41;Senior;Utilizo Muito Frequentemente;4;1;2;1;1;1;3;3;3;3;3;1;4;2;3;3;5;Nunca;Raramente;Nunca;Raramente;Muito frequente;Eventualmente;Raramente;Nunca;Nunca;3;3;1;5;1;1;1;1;1;1;4;1;1;1;1;3;1
Dev_42;Senior;Utilizo Muito Frequentemente;5;2;4;5;5;5;5;2;2;5;3;1;3;4;3;3;5;Raramente;Muito frequente;Frequente;Muito frequente;Frequente;Raramente;Muito frequente;Eventualmente;Nunca;1;4;5;5;2;5;3;5;2;2;5;5;5;3;5;5;3
Dev_43;Pleno;Utilizo Frequentemente;5;1;5;1;1;1;4;3;3;5;4;1;4;4;2;4;5;Frequente;Frequente;Eventualmente;Eventualmente;Frequente;Nunca;Raramente;Frequente;Raramente;5;3;3;3;5;3;2;4;4;2;5;5;3;4;5;5;4
Dev_44;Júnior;Utilizo Frequentemente;5;4;5;3;1;1;4;3;4;5;5;1;4;5;4;2;5;Nunca;Frequente;Muito frequente;Frequente;Nunca;Eventualmente;Nunca;Eventualmente;Nunca;5;4;1;3;4;1;3;5;4;3;5;5;3;2;5;1;2
